Scientific Name –ITIS (2014),Common Name ACMIS (2013),Wetland Classes,Stratum
Oncophorus wahlenbergii Brid.,mountain curved-back moss,"F, S",Moss
Orthotrichum speciosum Nees in Sturm,moss,"F, S",Moss
Paludella squarrosa (Hedw.) Brid.,moss,F,Moss
Plagiomnium cuspidatum (Hedw.) Kop.,moss,"F, S",Moss
Plagiomnium ellipticum (Brid.) Kop.,moss,"B, F, S",Moss
Plagiomnium medium (Bruch & Schimp. in B.S.G.) Kop.,moss,"B, F, S",Moss
Pleurozium schreberi (Brid.) Mitt.,Schreber's moss,"B, F, S",Moss
Pohlia nutans (Hedw.) Lindb.,copper wire moss,"B, F, S",Moss
Polytrichum commune Hedw.,common hair-cap,"B, F, S",Moss
Polytrichum strictum Brid.,slender haircap-moss,"B, F, S",Moss
Pseudobryum cinclidioides (Hub.) Kop.,moss,"B, F, S",Moss
Ptilium crista-castrensis (Hedw.) De Not.,knight's plume moss,"B, F, S",Moss
Pylaisiella polyantha (Hedw.) Grout,moss,"F, S",Moss
Rhytidiadelphus triquetrus (Hedw.) Warnst.,red-stemmed pipecleaner moss,"F, S",Moss
Rhizomnium gracile Kop.,fringed bog moss,"F, S",Moss
Rhizomnium pseudopunctatum (Brusch & Shimp) Kop.,moss,"B, F, S",Moss
Sanionia uncinata var. uncinata (Hedw.) Loeske,hook moss,F,Moss
Scorpidium scorpioides (Hedw.) Limpr.,scorpidium moss,F,Moss
Scorpidium turgescens (Jens.) Loeske,moss,F,Moss
Sphagnum angustifolium (Jens. ex Russ) Jens.inTolf,poor-fen sphagnum; peat moss,"B, F, S",Moss
Sphagnum balticum (Russ.) Jens.,balticum peat moss,"B, F",Moss
Sphagnum capillifolium (Ehrh.) Hedw.,acute-leaved peat moss,"B, F, S",Moss
Sphagnum centrale Jens in Arnell & Jens,peat moss,"B, F",Moss
Sphagnum contortum Shultz,twisted bog moss,"B, F",Moss
Sphagnum fallax (Klinggr.) Klinggr.,peat moss,"B, F",Moss
Sphagnum fimbriatum Wils. in Wils. & Hook. f. in Hook.,shore-growing peat moss,"B, F",Moss
Sphagnum fuscum (Schimp.) Klinggr.,rusty peat moss,"B, F, S",Moss
Sphagnum girgensohnii Russ.,Girgensohn's moss,"B, F, S",Moss
Sphagnum jensenii Lindb.,pendant branch peat moss,"B, F",Moss
Sphagnum lindbergii Shimp. in Lindb.,Lindberg's bog moss,"B, F",Moss
Sphagnum majus (Russ.) C. Jens.,peat moss,F,Moss
Sphagnum magellanicum Brid.,midway peat moss,"B, F",Moss
Sphagnum obtusum Warnst.,blunt-leaved peat moss,"B, F",Moss
Sphagnum riparium Ångstr.,shore-growing peat moss,F,Moss
Sphagnum russowii Warnst.,wide-tongued peat moss,F,Moss
Sphagnum squarrosum Crome,squarrose peat moss,"F, S",Moss
Sphagnum subsecundum Nees in Sturm,twisted bog moss,"B, F",Moss
Sphagnum teres (Schimp.) Ångström in Hartm.,thin-leaved peat moss,F,Moss
Sphagnum warnstorfii Russ.,Warnstorf's sphagnum,"F, S",Moss
Splachnum ampullaceum Hedw.,flagon-fruited splachnum,B,Moss
Splachnum rubrum Hedw.,red collar moss,B,Moss
Splachnum sphaericum Hedw.,globe-fruited splachnum,B,Moss
Splachnum vasculosum Hedw.,large-fruited splachnum,B,Moss
Tetraphis pellucida Hedw.,moss,"B, F, S",Moss
Tetraplodon angustatus (Hedw.) Bruch&Schimp in BSG,narrow-leaved splachnum,"B, F, S",Moss
Thuidium recognitum (Hedw.) Lindb.,moss,"B, F, S",Moss
Tomentypnum falcifolium (Ren. ex Nichols) Tuom in Ahti&Fagers.,golden moss,"B, F",Moss
Tomentypnum nitens (Hedw.) Loeske,golden moss,F,Moss
Rhytidiadelphus triquetrus (Hedw.) Warnst.,red-stemmed pipecleaner moss,"F, S",Moss
Warnstorfia exannulata (Schimp in B.S.G.)Loeske,Brown moss,"B, F, S",Moss
Warnstorfia fluitans (Hedw.) Loeske,warnstorfia peat moss,"B, F, S",Moss
Warnstorfiia tundrae (Arnell) Loeske,moos,F,Moss
Aneura pinguis (L.) Dumort,liverwort,"F, S",Moss
Blepharostoma trichophyllum (L.) Dum.,liverwort,"F, S",Moss
Calypogeia sphagnicola (H. Arnell & Perss.) Warnst & Loeske,liverwort,"F, S",Moss
Cephalozia connivens (Dicks.) Lindb.,liverwort,"B, F, S",Moss
Cephalozia lunulifolia (Dum.) Dum.,liverwort,F,Moss
Cephalozia pleniceps (Aust.) Lindb.,liverwort,F,Moss
Geocalyx graveolens (Schrad.) Nees,liverwort,"F, S",Moss
Jamesoniella autumnalis (Decandolle) Steph.,liverwort,"B, F, S",Moss
Lepidozia reptans (L.) Dum.,liverwort,"B, F, S",Moss
Lophocolea heterophylla (Schrad.) Dum.,liverwort,"F, S",Moss
Lophocolea minor Nees,liverwort,F,Moss
Lophozia grandiretis (Lindb.) Schiffn.,liverwort,B,Moss
Lophozia guttulata (Lindb. et Arnell) Evans,liverwort,"B, F",Moss
Lophozia rutheana (Limpre.) Mull. Frib,liverwort,"B, F",Moss
Lophozia ventricosa (Dicks.) Dum.,liverwort,"B, F",Moss
Marchantia polymorpha L.,green tongue liverwort,"B, F, M, S",Moss
Moerckia hibernica (Hook.) Gottsche,liverwort,"B, F",Moss
Mylia anomala (Hook.) S. Gray,liverwort,"B, F, S",Moss
Pellia endiviifolia (Dicks.) Dumort.,liverwort,S,Moss
Plagiochila asplenioides (L.) Dum.,liverwort,"B, F, S",Moss
Plagiochila porelloides (Torrey ex Nees) Lindenb.,liverwort,F,Moss
Porella platyphylla (L.) Pfeiff,liverwort,"S, B",Moss
Ptilidium ciliare (Li.) Nees,liverwort,"B, F, S",Moss
Ptilidium pulcherrimum (Web.) Hampe,liverwort,"B, F, S",Moss
Radula complanata (L.) Dum.,liverwort,"F, M, S",Moss
Riccia fluitans L.,crystalwort,"M, W",Moss
Riccardia multifida (L.) Gray,liverwort,S,Moss
Ricciocarpos natans (L.) Corda,purple-fringed heartwort,"F, M, W",Moss
Scapania paludosa (Mull.) Mull.,liverwort,B,Moss
