,,,,,,,,,SUBNATION_NAME,NAME_CATEGORY_DESC,ELCODE,FAMILY,Scientific Name,Common Name,SNAME [ACIMS],ORIGIN,TreeTime,SeedTime,GCOMNAME,S_RANK,N_RANK,G_RANK,ORIGIN,CURRENT_PRESENCE_ABSENCE,TRACK_STATUS,,,,GNAME
,,,,,,,,,Alberta,Vascular Plant,PDBER02050,Berberidaceae,Berberis vulgaris,common barberry,Berberis vulgaris,Exotic,FALSE,FALSE,European Barberry,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Berberis vulgaris
,,,,,,,,,Alberta,Vascular Plant,PDBRA0B010,Brassicaceae,Berteroa incana,hoary alyssum,Berteroa incana,Exotic,FALSE,FALSE,Hoary False Alyssum,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Berteroa incana
,,,,,,,,,Alberta,Vascular Plant,PDSCR09070,Scrophulariaceae,Besseya wyomingensis,kittentails,Besseya wyomingensis,Native,FALSE,FALSE,Wyoming Coral-drops,S3,N3,G5,Native,Present,Do not track,,,,Besseya wyomingensis
,,,,,,,,ALCLA,Alberta,Vascular Plant,PDBET02040,Betulaceae,Betula glandulosa,bog birch,Betula glandulosa,Native,FALSE,FALSE,Tundra Dwarf Birch,S5,N5,G5,Native,Present,Do not track,,,,Betula glandulosa
,,,,,,,,,Alberta,Vascular Plant,PDBET02080,Betulaceae,Betula nana,arctic dwarf birch,Betula nana,Native,FALSE,FALSE,Swamp Birch,SU,N5,G5,Native,Present,Do not track,,,,Betula nana
,,,,,,,,,Alberta,Vascular Plant,PDBET02081,Betulaceae,Betula nana ssp. exilis,arctic dwarf birch,Betula nana ssp. exilis,Native,FALSE,FALSE,Resinous Arctic Dwarf Birch,SU,N5,G5T5,Native,Present,Do not track,,,,Betula nana ssp. exilis
,,,,,,,,,Alberta,Vascular Plant,PDBET02090,Betulaceae,Betula neoalaskana,Alaska birch,Betula neoalaskana,Native,FALSE,FALSE,Alaska Paper Birch,S5,N5,G5,Native,Present,Do not track,,,,Betula neoalaskana
,,,,,,,,,Alberta,Vascular Plant,PDBET020B0,Betulaceae,Betula occidentalis,water birch,Betula occidentalis,Native,FALSE,TRUE,Spring Birch,S4,N5,G5,Native,Present,Do not track,,,,Betula occidentalis
,,,,,,,Medieval Manor Gardens,Sunstar Nurseries Ltd.,Alberta,Vascular Plant,PDBET020C0,Betulaceae,Betula papyrifera,white birch,Betula papyrifera,Native,FALSE,FALSE,Paper Birch,S5?,N5,G5,Native,Present,Do not track,,,,Betula papyrifera
,,,,,,,,Sunstar Nurseries Ltd.,Alberta,Vascular Plant,PDBET020H0,Betulaceae,Betula pumila,dwarf birch,Betula pumila,Native,TRUE,FALSE,Swamp Birch,S5,N5,G5,Native,Present,Do not track,,,,Betula pumila
,,,,,,,,,Alberta,Vascular Plant,PDBET020H2,Betulaceae,Betula pumila var. glandulifera,dwarf birch,Betula pumila var. glandulifera,Native,FALSE,FALSE,Bog Birch,S5,N5,G5T5,Native,Present,Do not track,,,,Betula pumila var. glandulifera
,,,,,,,,Medieval Manor Gardens,Alberta,Vascular Plant,PDAST180B0,Asteraceae,Bidens cernua,nodding beggarticks,Bidens cernua,Native,FALSE,FALSE,Nodding Beggarticks,S5,N5,G5,Native,Present,Do not track,,,,Bidens cernua
,,,,,,,,,Alberta,Vascular Plant,PDAST180R0,Asteraceae,Bidens frondosa,common beggarticks,Bidens frondosa,Native,FALSE,FALSE,Devil's Beggarticks,S3,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Bidens frondosa
,,,,,,,,,Alberta,Vascular Plant,PDAST181L0,Asteraceae,Bidens tripartita,tall beggarticks,Bidens tripartita,Exotic,FALSE,FALSE,Three-lobe Beggarticks,SNA,N5,G5,Exotic,Present,Do not track,,,,Bidens tripartita
,,,,,,,,,Alberta,Vascular Plant,PDAST181N0,Asteraceae,Bidens vulgata,tall beggarticks,Bidens vulgata,Native,FALSE,FALSE,Tall Bur-marigold,S1,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Bidens vulgata
,,,,,,,,,Alberta,Vascular Plant,PDPGN0L2G0,Polygonaceae,Bistorta vivipara,alpine bistort,Bistorta vivipara,Native,FALSE,FALSE,Viviparous Knotweed,S5,N5,G5,Native,Present,Do not track,,,,Polygonum viviparum
,,,,,,,,,Alberta,Vascular Plant,PMCYP0Q1C0,Cyperaceae,Blysmopsis rufa,red bulrush,Blysmopsis rufa,Native,FALSE,FALSE,Red Bulrush,S2,N4N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Blysmus rufus
,,,,,,,,,Alberta,Vascular Plant,PDBRA06480,Brassicaceae,Boechera calderi,Calder's rockcress,Boechera calderi,Native,FALSE,FALSE,Calder's Rockcress,S2,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Arabis calderi
,,,,,,,,,Alberta,Vascular Plant,PDBRA060W1,Brassicaceae,Boechera collinsii,Collins' rockcress,Boechera collinsii,Native,FALSE,FALSE,Holboell's Rockcress,S1,N5,G5T5,Native,Present,Track all extant and selected historical EOs,,,,Arabis holboellii var. collinsii
,,,,,,,,,Alberta,Vascular Plant,PDBRA06112,Brassicaceae,Boechera drepanoloba,soldier rockcress,Boechera drepanoloba,Native,FALSE,FALSE,Lemmon's Rockcress,S2,N4N5,G5T4T5,Native,Present,Track all extant and selected historical EOs,,,,Arabis lemmonii var. drepanoloba
,,,,,,,,,Alberta,Vascular Plant,PDBRA40020,Brassicaceae,Boechera grahamii,limestone rockcress,Boechera grahamii,Native,FALSE,FALSE,Graham's Rockcress,S5,N5,G5,Native,Present,Do not track,,,,Boechera grahamii
,,,,,,,,,Alberta,Vascular Plant,PDBRA06113,Brassicaceae,Boechera lemmonii,Lemmon's rockcress,Boechera lemmonii,Native,FALSE,FALSE,Lemmon's Rockcress,S3,N5,G5T5,Native,Present,Track all extant and selected historical EOs,,,,Arabis lemmonii var. lemmonii
,,,,,,,,,Alberta,Vascular Plant,PDBRA06130,Brassicaceae,Boechera lyallii,Lyall's rockcress,Boechera lyallii,Native,FALSE,FALSE,Lyall's Rockcress,S3,N5,G5,Native,Present,Do not track,,,,Arabis lyallii
,,,,,,,,,Alberta,Vascular Plant,PDBRA060W6,Brassicaceae,Boechera pendulocarpa,dangle-pod rockcress,Boechera pendulocarpa,Native,FALSE,FALSE,Holboell's Rockcress,S1,N5,G5T5,Native,Present,Track all extant and selected historical EOs,,,,Arabis holboellii var. pendulocarpa
,,,,,,,,,Alberta,Vascular Plant,PDBRA060W5,Brassicaceae,Boechera retrofracta,reflexed rockcress,Boechera retrofracta,Native,FALSE,FALSE,Holboell's Rockcress,S3,N5,G5T5,Native,Present,Do not track,,,,Arabis holboellii var. retrofracta
,,,,,,,,,Alberta,Vascular Plant,PDBRA060H0,Brassicaceae,Boechera stricta,Drummond's rock cress,Boechera stricta,Native,FALSE,FALSE,Drummond's Rockcress,S4,N5,G5,Native,Present,Do not track,,,,Arabis drummondii
,,,,,,,K&S Growers,Bearberry Creek Greenhouse,Alberta,Vascular Plant,PMCYP0Q0P0,Cyperaceae,Bolboschoenus fluviatilis,river bulrush,Bolboschoenus fluviatilis,Native,FALSE,FALSE,River Bulrush,S1,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Schoenoplectus fluviatilis
,,,,,,,,K&S Growers,Alberta,Vascular Plant,PMCYP0Q0Z0,Cyperaceae,Bolboschoenus maritimus,alkali bulrush,Bolboschoenus maritimus,Native,FALSE,FALSE,Saltmarsh Bulrush,S4,N4N5,G5,Native,Present,Do not track,,,,Schoenoplectus maritimus
,,,,,,,,,Alberta,Vascular Plant,PMCYP0Q1Q0,Cyperaceae,Bolboschoenus maritimus ssp. paludosus,alkali bulrush,Bolboschoenus maritimus ssp. paludosus,Native,FALSE,FALSE,Alkali Bulrush,S4,N5,G5,Native,Present,Do not track,,,,Scirpus paludosus
,,,,,,,,,Alberta,Vascular Plant,PDBOR05010,Boraginaceae,Borago officinalis,oxtongue,Borago officinalis,Exotic,FALSE,FALSE,Common Borage,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Borago officinalis
,,,,,,,,,Alberta,Vascular Plant,PDORO01020,Orobanchaceae,Boschniakia rossica,ground-cone,Boschniakia rossica,Native,FALSE,FALSE,Northern Groundcone,S1,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Boschniakia rossica
,,,,,,,,,Alberta,Vascular Plant,PPOPH010S0,Ophioglossaceae,Botrychium ascendens,ascending grape fern,Botrychium ascendens,Native,FALSE,FALSE,Upward-lobed Moonwort,S3,N2N3,G3,Native,Present,Track all extant and selected historical EOs,,,,Botrychium ascendens
,,,,,,,,,Alberta,Vascular Plant,PPOPH010W0,Ophioglossaceae,Botrychium campestre,field grape fern,Botrychium campestre,Native,FALSE,FALSE,Prairie Dunewort,S3,N2,G3G4,Native,Present,Track all extant and selected historical EOs,,,,Botrychium campestre
,,,,,,,,,Alberta,Vascular Plant,PPOPH010L0,Ophioglossaceae,Botrychium crenulatum,scalloped grapefern,Botrychium crenulatum,Native,FALSE,FALSE,Crenulate Moonwort,S3,N2N3,G3,Native,Present,Track all extant and selected historical EOs,,,,Botrychium crenulatum
,,,,,,,,,Alberta,Vascular Plant,PPOPH010Q0,Ophioglossaceae,Botrychium hesperium,western grape fern,Botrychium hesperium,Native,FALSE,FALSE,Western Moonwort,S3,N3N4,G4,Native,Present,Track all extant and selected historical EOs,,,,Botrychium hesperium
,,,,,,,,,Alberta,Vascular Plant,PPOPH01070,Ophioglossaceae,Botrychium lanceolatum,triangle moonwort,Botrychium lanceolatum,Native,FALSE,FALSE,Triangle Grapefern,S4,N4,G5,Native,Present,Do not track,,,,Botrychium lanceolatum
,,,,,,,,,Alberta,Vascular Plant,PPOPH01072,Ophioglossaceae,Botrychium lanceolatum ssp. lanceolatum,triangle moonwort,Botrychium lanceolatum ssp. lanceolatum,Native,FALSE,FALSE,Lanceleaf Moonwort,S4,N3N4,G5T4,Native,Present,Do not track,,,,Botrychium lanceolatum var. lanceolatum
,,,,,,,,,Alberta,Vascular Plant,PPOPH01120,Ophioglossaceae,Botrychium lineare,straight-leaf moonwort,Botrychium lineare,Native,FALSE,FALSE,Narrowleaf Grapefern,S1,N3,G3,Native,Present,Track all extant and selected historical EOs,,,,Botrychium lineare
,,,,,,,,,Alberta,Vascular Plant,PPOPH01080,Ophioglossaceae,Botrychium lunaria,moonwort,Botrychium lunaria,Native,FALSE,FALSE,Common Moonwort,S5,N5,G5,Native,Present,Do not track,,,,Botrychium lunaria
,,,,,,,,,Alberta,Vascular Plant,PPOPH010A0,Ophioglossaceae,Botrychium matricariifolium,chamomile grape-fern,Botrychium matricariifolium,Native,FALSE,FALSE,Chamomile Grapefern,S1,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Botrychium matricariifolium
,,,,,,,,,Alberta,Vascular Plant,PPOPH01200,Ophioglossaceae,Botrychium michiganense,Michigan grapefern,Botrychium michiganense,Native,FALSE,FALSE,Michigan Moonwort,SU,N2N3,G3,Native,Present,Track all extant and selected historical EOs,,,,Botrychium michiganense
,,,,,,,,,Alberta,Vascular Plant,PPOPH010R0,Ophioglossaceae,Botrychium minganense,Mingan grape fern,Botrychium minganense,Native,FALSE,FALSE,Mingan Moonwort,S4,N5,G5,Native,Present,Do not track,,,,Botrychium minganense
,,,,,,,,,Alberta,Vascular Plant,PPOPH01130,Ophioglossaceae,Botrychium pallidum,pale moonwort,Botrychium pallidum,Native,FALSE,FALSE,Pale Moonwort,S2,N2N3,G3,Native,Present,Track all extant and selected historical EOs,,,,Botrychium pallidum
,,,,,,,,,Alberta,Vascular Plant,PPOPH010J0,Ophioglossaceae,Botrychium paradoxum,paradoxical grape fern,Botrychium paradoxum,Native,FALSE,FALSE,Peculiar Moonwort,S1,N2,G3G4,Native,Present,Track all extant and selected historical EOs,,,,Botrychium paradoxum
,,,,,,,,,Alberta,Vascular Plant,PPOPH010T0,Ophioglossaceae,Botrychium pedunculosum,stalked grape fern,Botrychium pedunculosum,Native,FALSE,FALSE,Stalked Moonwort,S1,N3N4,G3G4,Native,Present,Track all extant and selected historical EOs,,,,Botrychium pedunculosum
,,,,,,,,,Alberta,Vascular Plant,PPOPH010V0,Ophioglossaceae,Botrychium pinnatum,northwestern grapefern,Botrychium pinnatum,Native,FALSE,FALSE,Northern Moonwort,S4,N5,G5,Native,Present,Track on a watch list only,,,,Botrychium pinnatum
,,,,,,,,,Alberta,Vascular Plant,PPOPH010E0,Ophioglossaceae,Botrychium simplex,dwarf grape fern,Botrychium simplex,Native,FALSE,FALSE,Least Grapefern,S2,N4,G5,Native,Present,Track all extant and selected historical EOs,,,,Botrychium simplex
,,,,,,,,,Alberta,Vascular Plant,PPOPH01140,Ophioglossaceae,Botrychium spathulatum,spatulate grape fern,Botrychium spathulatum,Native,FALSE,FALSE,Spoon-leaf Moonwort,S3,N3,G3,Native,Present,Track all extant and selected historical EOs,,,,Botrychium spathulatum
,,,,,,,,,Alberta,Vascular Plant,PPOPH01240,Ophioglossaceae,Botrychium tunux,moosewort,Botrychium tunux,Native,FALSE,FALSE,Moosewort,S1S2,N3N4,G3G4,Native,Present,Track all extant and selected historical EOs,,,,Botrychium tunux
,,,,,,,,,Alberta,Vascular Plant,PPOPH010H0,Ophioglossaceae,Botrychium virginianum,Virginia grape fern,Botrychium virginianum,Native,FALSE,FALSE,Rattlesnake Fern,S5,N5,G5,Native,Present,Do not track,,,,Botrychium virginianum
,,,,,,,,,Alberta,Vascular Plant,PPOPH01160,Ophioglossaceae,Botrychium x watertonense,Waterton grapefern,Botrychium x watertonense,Native,FALSE,FALSE,Waterton Moonwort,S1,NNA,GNA,Native,Present,Track all extant and selected historical EOs,,,,Botrychium x watertonense
,,,,,,,BrettYoung,Prairie Flora Greenhouse,Alberta,Vascular Plant,PMPOA10060,Poaceae,Bouteloua curtipendula,side-oats grama,Bouteloua curtipendula,Native,FALSE,FALSE,Sideoats Grama,S1,N3,G5,Native,Present,Track all extant and selected historical EOs,,,,Bouteloua curtipendula
,ALCLA,K&S Growers,Medieval Manor Gardens,Southern Oasis Enterprises,Bearberry Creek Greenhouse,BrettYoung,Prairie Flora Greenhouse,Arnica Wildflowers,Alberta,Vascular Plant,PMPOA10090,Poaceae,Bouteloua gracilis,blue grama,Bouteloua gracilis,Native,FALSE,FALSE,Blue Grama,S5,N5,G5,Native,Present,Do not track,,,,Bouteloua gracilis
,,,,,,,,,Alberta,Vascular Plant,PDCAB01010,Cabombaceae,Brasenia schreberi,watershield,Brasenia schreberi,Native,FALSE,FALSE,Watershield,S1,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Brasenia schreberi
,,,,,,,,,Alberta,Vascular Plant,PDBRA0C0A2,Brassicaceae,Brassica campestris,rape,Brassica campestris,Exotic,FALSE,FALSE,Field Mustard,SNA,NNA,GNRTNR,Exotic,Present,Do not track,,,,Brassica rapa var. rapa
,,,,,,,,,Alberta,Vascular Plant,PDBRA0C050,Brassicaceae,Brassica juncea,Indian mustard,Brassica juncea,Exotic,FALSE,FALSE,Chinese Mustard,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Brassica juncea
,,,,,,,,,Alberta,Vascular Plant,PDBRA0C060,Brassicaceae,Brassica napus,rutabaga,Brassica napus,Exotic,FALSE,FALSE,Turnip,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Brassica napus
,,,,,,,,,Alberta,Vascular Plant,PDBRA0C070,Brassicaceae,Brassica nigra,black mustard,Brassica nigra,Exotic,FALSE,FALSE,Black Mustard,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Brassica nigra
,,,,,,,,,Alberta,Vascular Plant,PDBRA0C0A0,Brassicaceae,Brassica rapa,Bird's rape,Brassica rapa,Exotic,FALSE,FALSE,Bird's Rape,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Brassica rapa
,,,,,,,,,Alberta,Vascular Plant,PDBRA0D020,Brassicaceae,Braya glabella,smooth braya,Braya glabella,Native,FALSE,FALSE,Smooth Rockcress,S2,N4,G5,Native,Present,"Track selected extant EOs (i.e., partial tracking)",,,,Braya glabella
,,,,,,,,,Alberta,Vascular Plant,PDBRA0D021,Brassicaceae,Braya glabella ssp. glabella,smooth braya,Braya glabella ssp. glabella,Native,FALSE,FALSE,Smooth Rockcress,S1S2,NNR,G5T5?,Native,Present,Track all extant and selected historical EOs,,,,Braya glabella ssp. glabella
,,,,,,,,,Alberta,Vascular Plant,PDBRA0D023,Brassicaceae,Braya glabella ssp. purpurascens,alpine braya,Braya glabella ssp. purpurascens,Native,FALSE,FALSE,Purple Braya,S1S2,NNR,G5T4T5,Native,Present,Track all extant and selected historical EOs,,,,Braya glabella ssp. purpurascens
,,,,,,,,,Alberta,Vascular Plant,PDBRA0D040,Brassicaceae,Braya humilis,low braya,Braya humilis,Native,FALSE,FALSE,Low Braya,S3,N5,G5,Native,Present,"Track selected extant EOs (i.e., partial tracking)",,,,Braya humilis
,,,,,,,,,Alberta,Vascular Plant,PDBRA0D042,Brassicaceae,Braya humilis ssp. humilis,low braya,Braya humilis ssp. humilis,Native,FALSE,FALSE,Low Braya,SU,N5,G5T5,Native,Present,Track all extant and selected historical EOs,,,,Braya humilis ssp. humilis
,,,,,,,,,Alberta,Vascular Plant,PDBRA0D047,Brassicaceae,Braya humilis ssp. maccallae,leafy braya,Braya humilis ssp. maccallae,Native,FALSE,FALSE,McCalla's Braya,S2,N1N2,G5T1T2Q,Native,Present,Track all extant and selected historical EOs,,,,Braya humilis ssp. maccallae
,,,,,,,,,Alberta,Vascular Plant,PDBRA0D048,Brassicaceae,Braya humilis ssp. porsildii,Porsild's braya,Braya humilis ssp. porsildii,Native,FALSE,FALSE,Porsild's Braya,S1,N3N4,G5T3T4,Native,Present,Track all extant and selected historical EOs,,,,Braya humilis ssp. porsildii
,,,,,,,,,Alberta,Vascular Plant,PDAST1H0L0,Asteraceae,Brickellia grandiflora,large-flowered brickellia,Brickellia grandiflora,Native,FALSE,FALSE,Tassel Flower,S2,N2,G5,Native,Present,Track all extant and selected historical EOs,,,,Brickellia grandiflora
,,,,,,,,,Alberta,Vascular Plant,PMPOA14010,Poaceae,Briza maxima,big quaking grass,Briza maxima,Exotic,FALSE,FALSE,Large Quaking Grass,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Briza maxima
,,,,,,,,,Alberta,Vascular Plant,PMPOA151C1,Poaceae,Bromus aleutensis,Alaska brome,Bromus aleutensis,Native,FALSE,FALSE,Alaska Brome,S2,N5?,G5T5?,Native,Present,Track all extant and selected historical EOs,,,,Bromus sitchensis var. aleutensis
,,,,,,,,,Alberta,Vascular Plant,PMPOA150A0,Poaceae,Bromus carinatus,keeled brome,Bromus carinatus,Native,FALSE,FALSE,California Brome,S3,N5,G5,Native,Present,Do not track,,,,Bromus carinatus
,,,,,ALCLA,Medieval Manor Gardens,BrettYoung,Arnica Wildflowers,Alberta,Vascular Plant,PMPOA15210,Poaceae,Bromus ciliatus,fringed brome,Bromus ciliatus,Native,FALSE,FALSE,Fringed Brome,S5,N5,G5,Native,Present,Do not track,,,,Bromus ciliatus
,,,,,,,,,Alberta,Vascular Plant,PMPOA150D0,Poaceae,Bromus commutatus,hairy chess,Bromus commutatus,Exotic,FALSE,FALSE,Hairy Brome,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Bromus commutatus
,,,,,,,,,Alberta,Vascular Plant,PMPOA150K0,Poaceae,Bromus hordeaceus,soft chess,Bromus hordeaceus,Exotic,FALSE,FALSE,Soft Brome,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Bromus hordeaceus
,,,,,,,,,Alberta,Vascular Plant,PMPOA150K1,Poaceae,Bromus hordeaceus ssp. hordeaceus,soft chess,Bromus hordeaceus ssp. hordeaceus,Exotic,FALSE,FALSE,Soft Brome,SNA,NNA,GNRTNR,Exotic,Present,Do not track,,,,Bromus hordeaceus ssp. hordeaceus
,,,,,,,,,Alberta,Vascular Plant,PMPOA150L0,Poaceae,Bromus inermis,smooth brome,Bromus inermis,Exotic,FALSE,FALSE,Awnless Brome,SNA,NNA,G5,Exotic,Present,Do not track,,,,Bromus inermis
,,,,,,,,,Alberta,Vascular Plant,PMPOA150L1,Poaceae,Bromus inermis ssp. inermis,smooth brome,Bromus inermis ssp. inermis,Exotic,FALSE,FALSE,Smooth Brome,SNA,NNA,G5T5,Exotic,Present,Do not track,,,,Bromus inermis ssp. inermis
,,,,,,,,,Alberta,Vascular Plant,PMPOA150M0,Poaceae,Bromus japonicus,Japanese chess,Bromus japonicus,Exotic,FALSE,FALSE,Japanese Brome,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Bromus japonicus
,,,,,,,,,Alberta,Vascular Plant,PMPOA151M0,Poaceae,Bromus latiglumis,Canada brome,Bromus latiglumis,Native,FALSE,FALSE,Broad-glumed Brome,S1,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Bromus latiglumis
,,,,,,K&S Growers,Southern Oasis Enterprises,BrettYoung,Alberta,Vascular Plant,PMPOA15220,Poaceae,Bromus marginatus,mountain brome,Bromus marginatus,Native,FALSE,FALSE,Large Mountain Brome,S3,NNR,G5,Native,Present,Do not track,,,,Bromus marginatus
,,,,,,,,,Alberta,Vascular Plant,PMPOA151N0,Poaceae,Bromus porteri,Porter's brome,Bromus porteri,Native,FALSE,FALSE,Porter's Chess,S4,N5,G5,Native,Present,Do not track,,,,Bromus porteri
,,,,,,,,,Alberta,Vascular Plant,PMPOA150L2,Poaceae,Bromus pumpellianus,Pumpelly brome,Bromus pumpellianus,Native,FALSE,FALSE,Awnless Brome,S5,N5,G5T5,Native,Present,Do not track,,,,Bromus inermis ssp. pumpellianus
,,,,,,,,,Alberta,Vascular Plant,PMPOA15212,Poaceae,Bromus richardsonii,Richardson's brome,Bromus richardsonii,Native,FALSE,FALSE,Fringed Brome,S3,N5,G5T5,Native,Present,Do not track,,,,Bromus ciliatus var. richardsonii
,,,,,,,,,Alberta,Vascular Plant,PMPOA151B0,Poaceae,Bromus secalinus,rye chess,Bromus secalinus,Exotic,FALSE,FALSE,Rye Brome,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Bromus secalinus
,,,,,,,,,Alberta,Vascular Plant,PMPOA151D0,Poaceae,Bromus squarrosus,field brome,Bromus squarrosus,Exotic,FALSE,FALSE,Corn Brome,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Bromus squarrosus
,,,,,,,,,Alberta,Vascular Plant,PMPOA151H0,Poaceae,Bromus tectorum,downy brome,Bromus tectorum,Exotic,FALSE,FALSE,Cheatgrass,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Bromus tectorum
,,,,,,,,,Alberta,Vascular Plant,PMPOA151H3,Poaceae,Bromus tectorum var. tectorum,downy brome,Bromus tectorum var. tectorum,Exotic,FALSE,FALSE,Cheatgrass,SNA,NNA,GNRTNR,Exotic,Present,Do not track,,,,Bromus tectorum var. tectorum
,,,,,,,,,Alberta,Vascular Plant,PMPOA151L0,Poaceae,Bromus vulgaris,woodland brome,Bromus vulgaris,Native,FALSE,FALSE,Narrow-flowered Brome,S3,N5,G5,Native,Present,Track on a watch list only,,,,Bromus vulgaris
,,,,,,,,,Alberta,Vascular Plant,PDAPI0F010,Apiaceae,Bupleurum americanum,thorough-wax,Bupleurum americanum,Native,FALSE,FALSE,American Thorowax,S2,N4N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Bupleurum americanum
,,,,,,,,,Alberta,Vascular Plant,PMBUT01010,Butomaceae,Butomus umbellatus,flowering-rush,Butomus umbellatus,Exotic,FALSE,FALSE,Flowering-rush,SNA,NNA,G5,Exotic,Present,Do not track,,,,Butomus umbellatus
,,,,,K&S Growers,Bearberry Creek Greenhouse,BrettYoung,Arnica Wildflowers,Alberta,Vascular Plant,PMPOA17050,Poaceae,Calamagrostis canadensis,bluejoint,Calamagrostis canadensis,Native,FALSE,FALSE,Blue-joint Reedgrass,S5,N5,G5,Native,Present,Do not track,,,,Calamagrostis canadensis
,,,,,,,,,Alberta,Vascular Plant,PMPOA170N0,Poaceae,Calamagrostis lapponica,Lapland reed grass,Calamagrostis lapponica,Native,FALSE,FALSE,Lapland Reedgrass,S2,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Calamagrostis lapponica
,,,,,,,,,Alberta,Vascular Plant,PMPOA170R0,Poaceae,Calamagrostis montanensis,plains reed grass,Calamagrostis montanensis,Native,FALSE,FALSE,Plains Reedgrass,S5,N5,G5,Native,Present,Do not track,,,,Calamagrostis montanensis
,,,,,,,K&S Growers,Bearberry Creek Greenhouse,Alberta,Vascular Plant,PMPOA17100,Poaceae,Calamagrostis purpurascens,purple reed grass,Calamagrostis purpurascens,Native,FALSE,FALSE,Purple Reedgrass,S4,N5,G5,Native,Present,Do not track,,,,Calamagrostis purpurascens
,,,,,,,,,Alberta,Vascular Plant,PMPOA17110,Poaceae,Calamagrostis rubescens,pine reed grass,Calamagrostis rubescens,Native,FALSE,FALSE,Pine Reedgrass,S5,N5,G5,Native,Present,Do not track,,,,Calamagrostis rubescens
,,,,,,,,,Alberta,Vascular Plant,PMPOA17170,Poaceae,Calamagrostis stricta,narrow reed grass,Calamagrostis stricta,Native,FALSE,FALSE,Slim-stem Small-reedgrass,S5,N5,G5,Native,Present,Do not track,,,,Calamagrostis stricta
,,,,,,,,,Alberta,Vascular Plant,PMPOA17171,Poaceae,Calamagrostis stricta ssp. inexpansa,northern reed grass,Calamagrostis stricta ssp. inexpansa,Native,FALSE,FALSE,New England Northern Reedgrass,S5,N5,G5T5,Native,Present,Do not track,,,,Calamagrostis stricta ssp. inexpansa
,,,,,,,,,Alberta,Vascular Plant,PMPOA17172,Poaceae,Calamagrostis stricta ssp. stricta,narrow reed grass,Calamagrostis stricta ssp. stricta,Native,FALSE,FALSE,Northern Reedgrass,S4,N5,G5T5,Native,Present,Do not track,,,,Calamagrostis stricta ssp. stricta
,,,,,,,BrettYoung,Arnica Wildflowers,Alberta,Vascular Plant,PMPOA18050,Poaceae,Calamovilfa longifolia,sand grass,Calamovilfa longifolia,Native,FALSE,FALSE,Sand Reedgrass,S5,N5,G5,Native,Present,Do not track,,,,Calamovilfa longifolia
,,,,,,,,,Alberta,Vascular Plant,PMPOA18051,Poaceae,Calamovilfa longifolia var. longifolia,sand grass,Calamovilfa longifolia var. longifolia,Native,FALSE,FALSE,Longleaf Reedgrass,S5,N5,G5T5,Native,Present,Do not track,,,,Calamovilfa longifolia var. longifolia
,,,,,,,K&S Growers,Bearberry Creek Greenhouse,Alberta,Vascular Plant,PMARA07010,Araceae,Calla palustris,water arum,Calla palustris,Native,FALSE,FALSE,Wild Calla,S4S5,N5,G5,Native,Present,Do not track,,,,Calla palustris
,,,,,,,,,Alberta,Vascular Plant,PDCLL01030,Callitrichaceae,Callitriche hermaphroditica,northern water-starwort,Callitriche hermaphroditica,Native,FALSE,FALSE,Autumnal Water-starwort,S4,N5,G5,Native,Present,Do not track,,,,Callitriche hermaphroditica
,,,,,,,,,Alberta,Vascular Plant,PDCLL010F0,Callitrichaceae,Callitriche palustris,spring water-starwort,Callitriche palustris,Native,FALSE,FALSE,Vernal Water-starwort,S5,N5,G5,Native,Present,Do not track,,,,Callitriche palustris
,,,,,,,,,Alberta,Vascular Plant,PDCLL010G0,Callitrichaceae,Callitriche stenoptera,narrow-winged water-starwort,Callitriche stenoptera,Native,FALSE,FALSE,Narrow-winged Water-starwort,SU,NU,GNR,Native,Present,Track all extant and selected historical EOs,,,,Callitriche stenoptera
