Common name,Scientific name,Life span,Origin,Grazing response,Forage value,Stratum
Tufted hair grass,Deschampsia caespitosa,Perennial,Native,Decreaser,Good,Graminoid
Tumble grass,Schedonnardus paniculatus,Perennial,Native,lncreaser,Poor,Graminoid
Water foxtail,Alopecurus aequalis,Perennial,Native,Decreaser,Good,Graminoid
Western porcupine grass,Stipa curtiseta,Perennial,Native,Decreaser,Good,Graminoid
Western wheatgrass,Pascopyrum smithii,Perennial,Native,lncreaser,Good,Graminoid
White-grained mountain rice grass,Oryzopsis asperifolia,Perennial,Native,Decreaser,Fair,Graminoid
Woodland bluegrass,Poa interior,Perennial,Native,Decreaser,Good,Graminoid
Alpine rush,Juncus alpinoarticulatus,Perennial,Native,Increaser,Fair,Graminoid
Atrosquama sedge,Carex atrosquama,Perennial,Native,Increaser,Fair,Graminoid
Awned sedge,Carex atherodes,Perennial,Native,Decreaser,Good,Graminoid
Baltic rush,Juncus balticus,Perennial,Native,lncreaser,Poor,Graminoid
Beaked sedge,Carex rostrata,Perennial,Native,Decreaser,Good,Graminoid
Blunt sedge,Carex obtusata,Perennial,Native,Increaser,Fair,Graminoid
Brownish sedge,Carex brunnescens,Perennial,Native,Increaser,Fair,Graminoid
Creeping spike rush,Eleocharis palustris,Perennial,Native,Decreaser,Good,Graminoid
Elk sedge,Carex geyeri,Perennial,Native,Increaser,Fair,Graminoid
Field/graceful sedge,Carex praegracilis,Perennial,Native,Increaser,Good,Graminoid
Golden sedge,Carex aurea,Perennial,Native,Increaser,Poor,Graminoid
Hair-like sedge,Carex capillaris,Perennial,Native,Increaser,Poor,Graminoid
Hay sedge,Carex siccata,Perennial,Native,Increaser,Fair,Graminoid
Hood’s sedge,Carex hoodii,Perennial,Native,Decreaser,Fair,Graminoid
Kobresia,Kobresia myosuroides,Perennial,Native,Increaser,Fair,Graminoid
Long-bracted sedge,Carex athrostachya,Perennial,Native,Increaser,Fair,Graminoid
Low sedge,Carex eleocharis,Perennial,Native,lncreaser,Poor,Graminoid
Meadow sedge,Carex praticola,Perennial,Native,Increaser,Fair,Graminoid
Mud rush,Juncus tracyi,Perennial,Native,Increaser,Fair,Graminoid
Raymond sedge,Carex raymondii,Perennial,Native,Increaser,Fair,Graminoid
Ross’ sedge,Carex rossii,Perennial,Native,Increaser,Fair,Graminoid
Rush-like sedge,Carex scirpoidea,Perennial,Native,Increaser,Fair,Graminoid
Small-flowered woodrush,Luzula parviflora,Perennial,Native,Increaser,Fair,Graminoid
Sprengel’s sedge,Carex sprengelii,Perennial,Native,Increaser,Good,Graminoid
Sun-loving sedge,Carex pensylvanica,Perennial,Native,Increaser,Good,Graminoid
Thick-spike sedge,Carex microptera,Perennial,Native,Increaser,Fair,Graminoid
Thread leaf sedge,Carex filifolia,Perennial,Native,Increaser,Good,Graminoid
Water sedge,Carex aquatilis,Perennial,Native,Decreaser,Good,Graminoid
Woolly sedge,Carex lanuginosa,Perennial,Native,Increaser,Good,Graminoid
Absinthe,Artemesia absinthium,Perennial,Introduced,Invader,Poor,Graminoid
